"Subset","Detail"
"30v5_Up","Sbf1"
"30v5_Up","Scn8a"
"30v5_Up","Sec14l1"
"30v5_Up","Serinc3"
"30v5_Up","Shank1"
"30v5_Up","Shank2"
"30v5_Up","Shank3"
"30v5_Up","Sipa1l1"
"30v5_Up","Ski"
"30v5_Up","Slc24a3"
"30v5_Up","Slc25a23"
"30v5_Up","Slc2a3"
"30v5_Up","Slc35f1"
"30v5_Up","Slc8a1"
"30v5_Up","Slitrk5"
"30v5_Up","Snap25"
"30v5_Up","Snx19"
"30v5_Up","Sorl1"
"30v5_Up","Sowaha"
"30v5_Up","Spin1"
"30v5_Up","Sptbn2"
"30v5_Up","Srgap3"
"30v5_Up","Srp54c"
"30v5_Up","St3gal2"
"30v5_Up","St6gal2"
"30v5_Up","Strn4"
"30v5_Up","Sv2b"
"30v5_Up","Syn1"
"30v5_Up","Synj1"
"30v5_Up","Synpo"
"30v5_Up","Taok2"
"30v5_Up","Tcf20"
"30v5_Up","Tef"
"30v5_Up","Tenm3"
"30v5_Up","Thy1"
"30v5_Up","Tln2"
"30v5_Up","Tmcc1"
"30v5_Up","Tmem106b"
"30v5_Up","Tmem151b"
"30v5_Up","Trak2"
"30v5_Up","Trappc8"
"30v5_Up","Tsc22d1"
"30v5_Up","Ttc3"
"30v5_Up","Ubqln2"
"30v5_Up","Ubqln4"
"30v5_Up","Vapa"
"30v5_Up","Wdtc1"
"30v5_Up","Wfs1"
"30v5_Up","Wipf3"
"30v5_Up","Ywhag"
"30v5_Up","Ywhaz"
"30v5_Up","Zbtb18"
"30v5_Up","Zcchc14"
"30v5_Up","Zdhhc14"
"30v5_Up","Zfp703"
"30v5_Up","Zfp831"
"30v5_Up","Zfyve1"
"30v5_Up","Zfyve9"
"5v0_Down","1110004F10Rik"
"5v0_Down","Abca5"
"5v0_Down","Acadsb"
"5v0_Down","Actg1"
"5v0_Down","Ahdc1"
"5v0_Down","Akap1"
"5v0_Down","Ampd2"
"5v0_Down","Arhgef18"
"5v0_Down","Atf3"
"5v0_Down","Atp2b3"
"5v0_Down","Bclaf1"
"5v0_Down","Bpnt1"
"5v0_Down","Camta1"
"5v0_Down","Cdc42se2"
"5v0_Down","Cds2"
"5v0_Down","Cox4i1"
"5v0_Down","Cplx1"
"5v0_Down","Cpne4"
"5v0_Down","Cxxc5"
"5v0_Down","Depdc5"
"5v0_Down","Dgcr8"
"5v0_Down","Dhx33"
"5v0_Down","Disp2"
"5v0_Down","Dnaja4"
"5v0_Down","Dnajb12"
"5v0_Down","Dpy19l4"
"5v0_Down","Dvl3"
"5v0_Down","Eno2"
"5v0_Down","Entpd7"
"5v0_Down","Eri3"
"5v0_Down","Extl3"
"5v0_Down","Fam131b"
"5v0_Down","Fgfr2"
"5v0_Down","Gins2"
"5v0_Down","Gmfb"
"5v0_Down","Gng7"
"5v0_Down","Gorasp2"
"5v0_Down","Grm7"
"5v0_Down","Hspa12a"
"5v0_Down","Hspd1"
"5v0_Down","Ids"
"5v0_Down","Il16"
"5v0_Down","Inpp5b"
"5v0_Down","Insyn1"
"5v0_Down","Ints1"
"5v0_Down","Ipo13"
"5v0_Down","Ism1"
"5v0_Down","Itfg1"
"5v0_Down","Kat2a"
"5v0_Down","Kcnj4"
"5v0_Down","Kmt5b"
"5v0_Down","Lgi1"
"5v0_Down","Lmtk3"
"5v0_Down","Lrig2"
"5v0_Down","Maneal"
"5v0_Down","Mapk8ip2"
"5v0_Down","Mboat2"
"5v0_Down","Med12"
"5v0_Down","Med16"
"5v0_Down","Mid2"
"5v0_Down","Ncoa4"
"5v0_Down","Nipa2"
"5v0_Down","Nol6"
"5v0_Down","Nras"
"5v0_Down","Onecut2"
"5v0_Down","Opcml"
"5v0_Down","Pfkm"
"5v0_Down","Pld3"
"5v0_Down","Plxdc2"
"5v0_Down","Poldip2"
"5v0_Down","Pom121"
"5v0_Down","Ppm1l"
"5v0_Down","Ralgapa2"
"5v0_Down","Rasgrf2"
"5v0_Down","Rbbp5"
"5v0_Down","Rgs14"
"5v0_Down","Ripor1"
"5v0_Down","Sec31a"
"5v0_Down","Sema5a"
"5v0_Down","Sema7a"
"5v0_Down","Septin5"
"5v0_Down","Setd5"
"5v0_Down","Sf3b1"
"5v0_Down","Shc3"
"5v0_Down","Slc22a17"
"5v0_Down","Slc45a1"
"5v0_Down","Slitrk2"
"5v0_Down","Smc2"
"5v0_Down","Son"
"5v0_Down","Spns2"
"5v0_Down","Spock3"
"5v0_Down","Stk40"
"5v0_Down","Stmn2"
"5v0_Down","Strip2"
"5v0_Down","Supv3l1"
"5v0_Down","Sympk"
"5v0_Down","Syngr1"
"5v0_Down","Taf5l"
"5v0_Down","Tecpr2"
"5v0_Down","Tent4b"
"5v0_Down","Tesk1"
"5v0_Down","Tmem200a"
"5v0_Down","Tmem9b"
"5v0_Down","Trhde"
"5v0_Down","Ubxn2a"
"5v0_Down","Virma"
"5v0_Down","Vps35l"
"5v0_Down","Wnk3"
"5v0_Down","Zfc3h1"
"5v0_Down_30v5_Down","Actn1"
"5v0_Down_30v5_Up","Adgrg1"
"5v0_Down_30v5_Up","Ahcyl2"
"5v0_Down_30v5_Up","Aplp1"
"5v0_Down_30v5_Up","Atf6"
"5v0_Down_30v5_Up","Brinp2"
"5v0_Down_30v5_Up","Cacna1e"
"5v0_Down_30v5_Up","Ccdc126"
"5v0_Down_30v5_Up","Cd63"
"5v0_Down_30v5_Up","Cdk5r1"
"5v0_Down_30v5_Up","Chst15"
"5v0_Down_30v5_Up","Clstn1"
"5v0_Down_30v5_Up","Clstn2"
"5v0_Down_30v5_Up","Dcc"
"5v0_Down_30v5_Up","Diaph2"
"5v0_Down_30v5_Up","Eloc"
"5v0_Down_30v5_Up","Fam110b"
"5v0_Down_30v5_Up","Gabrb2"
"5v0_Down_30v5_Up","Galnt16"
"5v0_Down_30v5_Up","Galnt9"
